epoch,acc,iou,loss,lr,precision_2,recall_2,val_acc,val_iou,val_loss,val_precision_2,val_recall_2
0,0.7852644324302673,0.17544466257095337,0.4895688593387604,1e-04,0.37687310576438904,0.5182974934577942,0.8306361436843872,0.11770583689212799,0.512479841709137,0.0,0.0
1,0.8541812300682068,0.21067872643470764,0.3918418884277344,1e-04,0.5489524602890015,0.567996621131897,0.8306361436843872,0.101385697722435,0.45218491554260254,0.0,0.0
2,0.8739806413650513,0.23944246768951416,0.34866684675216675,1e-04,0.619719922542572,0.5889050364494324,0.830474853515625,0.08620362728834152,0.4464278817176819,0.3044764995574951,0.0007414795109070837
3,0.8862898945808411,0.2625877857208252,0.3179008364677429,1e-04,0.6674087643623352,0.6102173328399658,0.847452700138092,0.1447570025920868,0.39463111758232117,0.7498427033424377,0.1556638479232788
4,0.897779643535614,0.28685805201530457,0.29273712635040283,1e-04,0.7101264595985413,0.6433336138725281,0.8550578355789185,0.23547786474227905,0.37742435932159424,0.6178074479103088,0.4252803921699524
5,0.9075936675071716,0.3128022849559784,0.27126413583755493,1e-04,0.7464914917945862,0.6725142002105713,0.8564254641532898,0.2774064242839813,0.39735686779022217,0.5982967615127563,0.5392186641693115
6,0.9179180264472961,0.34284064173698425,0.2496948391199112,1e-04,0.7868518233299255,0.6998116374015808,0.8617256283760071,0.3015666902065277,0.3806697726249695,0.6093924045562744,0.5891996026039124
7,0.9285747408866882,0.37788572907447815,0.227321058511734,1e-04,0.8302234411239624,0.726718008518219,0.845721423625946,0.3189724087715149,0.4491482973098755,0.551133930683136,0.6665135025978088
8,0.9370949268341064,0.41087231040000916,0.20691421627998352,1e-04,0.8650784492492676,0.7491440176963806,0.8283372521400452,0.3248971402645111,0.5648535490036011,0.5089607238769531,0.7087706327438354
9,0.9391223788261414,0.42383620142936707,0.1995498538017273,1e-05,0.8761587142944336,0.7514506578445435,0.881487250328064,0.30151256918907166,0.3125268816947937,0.7353850603103638,0.49919769167900085
10,0.9448511004447937,0.43903812766075134,0.18872378766536713,1e-05,0.8907702565193176,0.778576135635376,0.8812243938446045,0.31129172444343567,0.3132599890232086,0.7143049836158752,0.5346229672431946
11,0.9468588829040527,0.44611021876335144,0.18453477323055267,1e-05,0.8956388831138611,0.7881894707679749,0.880515456199646,0.31553587317466736,0.3149034082889557,0.7044638395309448,0.5475488305091858
12,0.9484321475028992,0.45196372270584106,0.18112340569496155,1e-05,0.9000210762023926,0.7949150800704956,0.8800855875015259,0.31715333461761475,0.3160518705844879,0.7007834911346436,0.5510436296463013
13,0.9497132897377014,0.4572281241416931,0.1781347692012787,1e-05,0.9035302996635437,0.8004699945449829,0.8800299167633057,0.3185137212276459,0.31673091650009155,0.6996741890907288,0.5529310703277588
14,0.9512486457824707,0.4620128273963928,0.1747761368751526,1e-06,0.9099240899085999,0.8044694066047668,0.8822639584541321,0.3202027678489685,0.3135199248790741,0.7110462188720703,0.5532563328742981
15,0.9520228505134583,0.4640055000782013,0.1735207587480545,1e-06,0.9120686650276184,0.8078168034553528,0.882713794708252,0.31938356161117554,0.31286031007766724,0.7150321006774902,0.549915611743927
16,0.9522091746330261,0.46484923362731934,0.17309889197349548,1e-06,0.912057101726532,0.8092734217643738,0.8827319145202637,0.3195912539958954,0.31281134486198425,0.714856743812561,0.5504093170166016
17,0.9523593187332153,0.4655514061450958,0.17274624109268188,1e-06,0.9121041893959045,0.8103712797164917,0.8826918005943298,0.3199063539505005,0.31290099024772644,0.7141460180282593,0.5513760447502136
18,0.9527067542076111,0.4663778245449066,0.17213112115859985,1e-07,0.9135466814041138,0.8112744688987732,0.8824260234832764,0.32154786586761475,0.3135432004928589,0.7101245522499084,0.5568673610687256
19,0.9527268409729004,0.4664841592311859,0.17208611965179443,1e-07,0.9134981036186218,0.811485767364502,0.8823125958442688,0.322160929441452,0.3137868046760559,0.7086127400398254,0.5588458180427551
